Campaign_ID,total_revenue,ExceedsAvgReturn
CAMP001,71594,No
CAMP002,74795,No
CAMP003,131134,Yes
CAMP004,114075,Yes
CAMP005,78477,No
CAMP006,70838,No
CAMP007,101232,Yes
CAMP008,44206,No
CAMP009,94977,Yes
CAMP010,57478,No
CAMP011,57963,No
CAMP012,109645,Yes
CAMP013,36555,No
CAMP014,58347,No
CAMP015,46320,No
CAMP016,87975,Yes
CAMP017,75514,No
CAMP018,114774,Yes
CAMP019,85114,Yes
CAMP020,73418,No
CAMP021,68571,No
CAMP022,113249,Yes
CAMP023,103202,Yes
CAMP024,93055,Yes
CAMP025,70869,No
CAMP026,79186,No
CAMP027,57792,No
CAMP028,61652,No
CAMP029,96730,Yes
CAMP030,82050,No
CAMP031,153279,Yes
CAMP032,66794,No
CAMP033,72403,No
CAMP034,105142,Yes
CAMP035,76036,No
CAMP036,100035,Yes
CAMP037,103333,Yes
CAMP038,142553,Yes
CAMP039,96357,Yes
CAMP040,134203,Yes
CAMP041,106229,Yes
CAMP042,159646,Yes
CAMP043,90632,Yes
CAMP044,92115,Yes
CAMP045,72910,No
CAMP046,72726,No
CAMP047,106977,Yes
CAMP048,108619,Yes
CAMP049,110393,Yes
CAMP050,38087,No
CAMP051,35281,No
CAMP052,41131,No
CAMP053,88864,Yes
CAMP054,130417,Yes
CAMP055,81305,No
CAMP056,83863,No
CAMP057,84574,Yes
CAMP058,86636,Yes
CAMP059,66849,No
CAMP060,135135,Yes
CAMP061,111363,Yes
CAMP062,36249,No
CAMP063,110862,Yes
CAMP064,98297,Yes
CAMP065,130889,Yes
CAMP066,91740,Yes
CAMP067,112329,Yes
CAMP068,112023,Yes
CAMP069,76482,No
CAMP070,41736,No
CAMP071,141229,Yes
CAMP072,126111,Yes
CAMP073,68189,No
CAMP074,136925,Yes
CAMP075,118188,Yes
CAMP076,119400,Yes
CAMP077,122252,Yes
CAMP078,132785,Yes
CAMP079,158601,Yes
CAMP080,96603,Yes
CAMP081,74537,No
CAMP082,85247,Yes
CAMP083,42816,No
CAMP084,93420,Yes
CAMP085,153441,Yes
CAMP086,41011,No
CAMP087,43691,No
CAMP088,142699,Yes
CAMP089,104750,Yes
CAMP090,114288,Yes
CAMP091,106495,Yes
CAMP092,127473,Yes
CAMP093,103049,Yes
CAMP094,84847,Yes
CAMP095,24539,No
CAMP096,113921,Yes
CAMP097,163169,Yes
CAMP098,85983,Yes
CAMP099,131734,Yes
CAMP100,106121,Yes
CAMP101,96923,Yes
CAMP102,83012,No
CAMP103,64222,No
CAMP104,108806,Yes
CAMP105,5371,No
CAMP106,126910,Yes
CAMP107,61027,No
CAMP108,105191,Yes
CAMP109,24522,No
CAMP110,88484,Yes
CAMP111,102890,Yes
CAMP112,154859,Yes
CAMP113,155492,Yes
CAMP114,58059,No
CAMP115,47695,No
CAMP116,75246,No
CAMP117,133476,Yes
CAMP118,9125,No
CAMP119,37898,No
CAMP120,22512,No
CAMP121,87154,Yes
CAMP122,112548,Yes
CAMP123,130081,Yes
CAMP124,80604,No
CAMP125,47937,No
CAMP126,91030,Yes
CAMP127,46985,No
