channel,start_date,cumrev
Email,30-04-2023,51928
Email,29-10-2023,92572
Email,28-12-2023,205821
Email,28-06-2023,257393
Email,27-09-2023,349508
Email,26-10-2023,390519
Email,26-08-2023,442847
Email,26-07-2023,563574
Email,26-04-2023,703717
Email,25-07-2023,835742
Email,24-11-2023,946799
Email,23-11-2023,1019709
Email,23-04-2023,1126204
Email,23-02-2023,1192998
Email,22-08-2023,1425266
Email,22-08-2023,1425266
Email,21-12-2023,1524992
Email,21-11-2023,1599787
Email,21-07-2023,1690817
Email,21-06-2023,1803124
Email,21-02-2023,1867618
Email,20-12-2023,1979675
Email,19-07-2023,2063751
Email,19-05-2023,2200046
Email,19-05-2023,2200046
Email,18-10-2023,2293101
Email,17-07-2023,2531471
Email,17-07-2023,2531471
Email,17-07-2023,2531471
Email,17-06-2023,2638448
Email,17-05-2023,2696411
Email,16-08-2023,2826828
Email,16-05-2023,2905778
Email,16-03-2023,3039770
Email,16-03-2023,3039770
Email,15-12-2023,3086090
Email,15-08-2023,3223629
Email,15-06-2023,3251115
Email,15-04-2023,3371124
Email,14-12-2023,3463759
Email,14-12-2023,3463759
Email,14-09-2023,3521237
Email,14-07-2023,3638330
Email,14-03-2023,3677146
Email,13-05-2023,3786703
Email,13-04-2023,3884777
Email,12-12-2023,4039036
Email,12-10-2023,4126190
Email,12-08-2023,4198172
Email,11-11-2023,4255964
Email,11-06-2023,4294842
Email,11-04-2023,4405704
Email,08-01-2023,4527956
Email,07-12-2023,4597953
Email,07-12-2023,4597953
Email,07-08-2023,4615206
Email,07-07-2023,4686168
Email,07-05-2023,4839609
Email,07-04-2023,4985175
Email,06-12-2023,5059712
Email,06-09-2023,5107649
Email,05-11-2023,5222423
Email,05-03-2023,5385592
Email,05-01-2023,5446374
Email,04-07-2023,5507170
Email,04-05-2023,5614654
Email,04-04-2023,5715180
Email,03-12-2023,5881937
Email,03-12-2023,5881937
Influencer,31-03-2023,49266
Influencer,30-01-2023,117455
Influencer,29-11-2023,200467
Influencer,28-06-2023,244978
Influencer,28-02-2023,379181
Influencer,27-12-2023,485985
Influencer,27-07-2023,566190
Influencer,26-11-2023,635451
Influencer,26-09-2023,686365
Influencer,26-08-2023,753214
Influencer,26-07-2023,869725
Influencer,25-04-2023,887845
Influencer,25-03-2023,1043506
Influencer,25-03-2023,1043506
Influencer,24-11-2023,1122479
Influencer,23-11-2023,1275758
Influencer,23-06-2023,1379936
Influencer,23-04-2023,1508216
Influencer,23-01-2023,1697044
Influencer,23-01-2023,1697044
Influencer,22-04-2023,1803165
Influencer,21-11-2023,1915713
Influencer,20-11-2023,1983847
Influencer,20-10-2023,2041906
Influencer,20-06-2023,2184857
Influencer,19-06-2023,2242953
Influencer,19-05-2023,2370426
Influencer,18-10-2023,2500900
Influencer,18-08-2023,2583566
Influencer,18-06-2023,2606078
Influencer,18-05-2023,2764679
Influencer,17-09-2023,2858099
Influencer,17-08-2023,2963290
Influencer,17-02-2023,3097616
Influencer,16-08-2023,3280262
Influencer,16-08-2023,3280262
Influencer,16-05-2023,3306346
Influencer,16-01-2023,3327528
Influencer,15-11-2023,3377036
Influencer,15-03-2023,3496531
Influencer,14-08-2023,3623441
Influencer,14-05-2023,3726198
Influencer,14-03-2023,3822780
Influencer,13-08-2023,3903384
Influencer,13-06-2023,3999741
Influencer,13-04-2023,4093751
Influencer,12-05-2023,4154778
Influencer,11-04-2023,4238610
Influencer,10-12-2023,4390043
Influencer,10-12-2023,4390043
Influencer,10-11-2023,4474056
Influencer,09-10-2023,4524553
Influencer,09-08-2023,4602469
Influencer,09-05-2023,4690953
Influencer,08-07-2023,4783234
Influencer,08-06-2023,4862420
Influencer,08-01-2023,4950214
Influencer,05-12-2023,5022326
Influencer,05-07-2023,5132252
Influencer,05-06-2023,5191680
Influencer,05-04-2023,5336274
Influencer,05-04-2023,5336274
