campaign_ID,returnf
CAMP256,128.5104
CAMP088,122.4884
CAMP112,93.5139
CAMP048,91.8166
CAMP101,85.6967
CAMP122,85.0060
CAMP078,81.7138
CAMP135,80.9442
CAMP096,78.6747
CAMP091,69.9245
CAMP102,68.4353
CAMP067,68.2851
CAMP169,67.9717
CAMP075,67.1141
CAMP179,65.8237
CAMP023,65.6919
CAMP146,63.1688
CAMP117,62.6648
CAMP003,61.4499
CAMP202,57.9733
CAMP172,51.4694
CAMP297,51.3714
CAMP094,49.9394
CAMP154,48.8727
CAMP284,47.4848
CAMP037,45.1039
CAMP276,44.8751
CAMP108,44.1423
CAMP127,43.5449
CAMP089,43.3747
CAMP113,43.2764
CAMP165,43.0436
CAMP040,42.8901
CAMP211,42.2449
CAMP104,41.6243
CAMP240,41.3263
CAMP291,40.8093
CAMP292,40.5541
CAMP090,40.5133
CAMP253,39.8870
CAMP182,39.3869
CAMP041,39.1844
CAMP238,38.1476
CAMP060,37.5584
CAMP025,37.2799
CAMP162,37.2061
CAMP262,37.0497
CAMP286,36.2051
CAMP269,35.2999
CAMP207,34.4716
CAMP268,34.3500
CAMP064,34.1072
CAMP167,33.7419
CAMP259,33.6709
CAMP045,33.6146
CAMP299,31.8421
CAMP287,31.8235
CAMP285,31.1444
CAMP116,29.9785
CAMP274,29.3544
CAMP012,29.3012
CAMP197,28.4719
CAMP209,28.0173
CAMP195,27.9316
CAMP216,27.4182
CAMP039,27.2811
CAMP053,27.0432
CAMP107,26.6377
CAMP168,26.5401
CAMP044,26.4015
CAMP100,25.9655
CAMP058,25.8692
CAMP111,25.2801
CAMP141,25.2460
CAMP004,25.2099
CAMP196,25.0796
CAMP254,24.9337
CAMP161,24.0963
CAMP082,23.9795
CAMP026,23.9305
CAMP076,23.8943
CAMP042,23.4704
CAMP245,22.7400
CAMP298,22.7010
CAMP271,22.4432
CAMP198,22.2624
CAMP132,22.1018
CAMP295,22.0902
CAMP244,22.0810
CAMP139,21.9013
CAMP188,21.6976
CAMP061,21.6365
CAMP144,21.6051
CAMP036,21.4621
CAMP151,21.4598
CAMP251,21.3661
CAMP106,21.3653
CAMP054,21.2717
CAMP049,21.2009
CAMP017,21.1999
CAMP288,21.1124
CAMP077,21.1107
CAMP282,21.0558
CAMP200,20.6121
CAMP228,20.4956
CAMP022,20.4236
CAMP201,20.1683
CAMP123,19.9053
CAMP085,19.7784
CAMP024,19.5988
CAMP019,19.4947
CAMP225,19.4002
CAMP098,19.2485
CAMP280,19.2264
CAMP136,19.2215
CAMP191,18.9341
CAMP063,18.8959
CAMP156,18.8542
CAMP143,18.5808
CAMP129,18.5602
CAMP074,18.4859
CAMP031,18.4673
CAMP174,18.3680
CAMP002,18.1762
CAMP279,18.0565
CAMP178,17.8938
CAMP006,17.8748
CAMP097,17.8405
CAMP205,17.7447
CAMP071,17.6757
CAMP267,17.6464
CAMP283,17.6253
CAMP099,17.5248
CAMP059,17.4906
CAMP166,17.3294
CAMP068,17.2423
CAMP072,17.2189
CAMP212,17.0911
CAMP081,17.0059
CAMP155,16.5544
CAMP079,16.5433
CAMP032,16.3071
CAMP033,16.2411
CAMP217,16.1280
CAMP158,16.0283
CAMP296,15.9874
CAMP159,15.9780
CAMP227,15.7769
CAMP190,15.7719
CAMP194,15.7374
CAMP175,15.7220
CAMP293,15.6727
CAMP229,15.5420
CAMP092,15.4926
CAMP241,15.4243
CAMP035,15.2959
CAMP069,15.1780
CAMP260,15.1568
CAMP208,15.1318
CAMP185,15.0973
CAMP273,15.0674
CAMP215,14.8945
CAMP065,14.8704
